id,nome,preco,data,estado,quantidade
12019506000262020,VENTILADOR ARTIFICIAL ELETRôNICO ,61945.37,2020-04-01,BR,50
15500706000102020,VENTILADOR ARTIFICIAL ELETRôNICO                                                                                        ,85000,02020-05-04,BR,300
15500706000102020,VENTILADOR ARTIFICIAL ELETRôNICO                                                                                        ,146132,2020-05-04,BR,9
15591006001042020,VENTILADOR ARTIFICIAL ELETRôNICO                                                                                        ,13900,2020-06-12,BR,10
16002006000182020,VENTILADOR ARTIFICIAL ELETRôNICO                                                                                        ,72734,2020-04-08,BR,10
16002006000322020,VENTILADOR ARTIFICIAL ELETRôNICO                                                                                        ,72734,2020-04-30,BR,5
16006906000122020,VENTILADOR ARTIFICIAL ELETRôNICO                                                                                        ,60000,2020-05-28,BR,100
16036506000162020,VENTILADOR ARTIFICIAL ELETRôNICO ,72733.08,2020-04-02,BR,3
25449206000272020,VENTILADOR ARTIFICIAL ELETRôNICO                                                                                        ,35200,2020-04-06,BR,2
98125305042212020,VENTILADOR ARTIFICIAL ELETRôNICO                                                                                        ,44000,2020-05-11,BR,6
