NUMERO_PROCESSO_COMPRA,URL_PORTAL_TRANSPARENCIA,DATA_CADASTRAMENTO_PROCESSO,OBJETO_PROCESSO,URL_DOCUMENTOS_PROCESSO,CODIGO_ORGAO_DEMANDANTE,ORGAO_DEMANDANTE,SITUACAO_PROCESSO,PROCEDIMENTO_CONTRATACAO,NUMERO_CONTRATO,URL_INTEGRA_CONTRATO,CODIGO_ORGAO_CONTRATO,ORGAO_CONTRATO,DATA_PUBLICACAO,INICIO_VIGENCIA,FIM_VIGENCIA,FIM_VIGENCIA_ATUALIZADA,CPF_CNPJ_CONTRATADO,CONTRATADO,PROCESSO_SEI,URL_PROCESSO_SEI,CODIGO_ITEM_MATERIAL_SERVICO,ITEM_MATERIAL_SERVICO,CODIGO_UNIDADE_ORCAMENTARIA,UNIDADE_ORCAMENTARIA,LINHA_FORNECIMENTO,CIDADE_ENTREGA,QUANTIDADE_HOMOLOGADA,VALOR_REFERENCIA_UNITARIO,VALOR_HOMOLOGADO_UNITARIO,VALOR_REFERENCIA,VALOR_HOMOLOGADO
0250073 000001/2020,http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/17-04-2020/1831094/0/0/22102/0/0/0/0/20307/3020037/94372/1198/322109/0250073000001-2020,2020-04-07,Contratação de empresa especializada para instalação de centrais e redes de gases medicinais e fornecimento de acessórios de gasoterapia.,https://www1.compras.mg.gov.br/processocompra/processo/consultaProcessoCompra.html?metodo=pesquisar&codigoUnidadeCompra=0250073&numero=1&ano=2020,1250,POLICIA MILITAR DE MINAS GERAIS,Concluído,Dispensa de Licitação,9245761,https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162593,1250,POLICIA MILITAR DE MINAS GERAIS,2020-04-10,2020-04-10,NA,2020-10-10,35.820.448/0030-70,WHITE MARTINS GASES INDUSTRIAIS LTDA,1250.01.0002042/2020-09,https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNZ70YWeLaAMvr33h4eERTb7bnecvmHxQgkzjkv7QYDRT,1198,INSTALACAO DE SISTEMA DE CANALIZACAO DE  GASES MEDICINAIS/INDUSTRIAIS,1251,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,INSTALACAO E/OU MONTAGEM DE SISTEMAS CENTRALIZADOS DE GASES,Belo Horizonte,0,780098.1,780098.1,780098.1,780098.1
0250073 000002/2020,http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/17-04-2020/1831094/0/0/22102/0/0/0/0/11108/68300069/89687/1083678/322110/0250073000002-2020,2020-04-09,Fornecimento de gases medicinais para o Hospital de Campanha de Minas Gerais.,https://www1.compras.mg.gov.br/processocompra/processo/consultaProcessoCompra.html?metodo=pesquisar&codigoUnidadeCompra=0250073&numero=2&ano=2020,1250,POLICIA MILITAR DE MINAS GERAIS,Concluído,Dispensa de Licitação,9245765,https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162594,1250,POLICIA MILITAR DE MINAS GERAIS,2020-04-14,2020-04-14,2020-12-31,2020-10-14,35.820.448/0030-70,WHITE MARTINS GASES INDUSTRIAIS LTDA,1250.01.0002042/2020-09,https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNZ70YWeLaAMvr33h4eERTb7bnecvmHxQgkzjkv7QYDRT,1083678,"OXIGENIO - TIPO: MEDICINAL LIQUEFEITO, GRAU DE PUREZA: MINIMO 99,5%; ARMAZENAMENTO: EM TANQUE CRIOGENICO DE OXIGENIO MEDICINAL; FORMULA MOLECULAR: O2; PESO MOLECULAR: 32,00; APARENCIA E ODOR: GAS INCOLOR E INODORO; FINALIDADE: RESP. HUMANA, OXIGENOTERAPIA, TERAPIA HIPERBARICA;",1251,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,"COMBUSTIVEIS, LUBRIFICANTES E DERIVADOS",Belo Horizonte,108000,1.48,1.48,159840,159840
0250073 000002/2020,http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/17-04-2020/1831094/0/0/22102/0/0/0/0/11108/68300069/89687/1083678/322110/0250073000002-2020,2020-04-09,Fornecimento de gases medicinais para o Hospital de Campanha de Minas Gerais.,https://www1.compras.mg.gov.br/processocompra/processo/consultaProcessoCompra.html?metodo=pesquisar&codigoUnidadeCompra=0250073&numero=2&ano=2020,1250,POLICIA MILITAR DE MINAS GERAIS,Concluído,Dispensa de Licitação,9245765,https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162594,1250,POLICIA MILITAR DE MINAS GERAIS,2020-04-14,2020-04-14,2020-12-31,2020-10-14,35.820.448/0030-70,WHITE MARTINS GASES INDUSTRIAIS LTDA,1250.01.0002042/2020-09,https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNZ70YWeLaAMvr33h4eERTb7bnecvmHxQgkzjkv7QYDRT,1235680,GASES MEDICINAIS - IDENTIFICACAO: NITROGENIO; CAS: 7727-37-9; ASPECTO: GAS LIQUEFEITO INCOLOR; COMPOSICAO: NITROGENIO (N2); CONCENTRACAO: MINIMA 99%; APRESENTACAO: CILINDRO;,1251,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,"COMBUSTIVEIS, LUBRIFICANTES E DERIVADOS",Belo Horizonte,48000,1.41,1.41,67680,67680
0250073 000003/2020,http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/17-04-2020/1831094/0/0/22102/0/0/0/0/12257/8020442/89502/15725/322505/0250073000003-2020,2020-04-10,Locação de tanques de criogênio (incluindo assistência técnica) e misturador de gases medicinais para o Hospital Campanha de Minas Gerais.,https://www1.compras.mg.gov.br/processocompra/processo/consultaProcessoCompra.html?metodo=pesquisar&codigoUnidadeCompra=0250073&numero=3&ano=2020,1250,POLICIA MILITAR DE MINAS GERAIS,Concluído,Dispensa de Licitação,0,NA,NA,NA,NA,NA,NA,NA,35.820.448/0030-70,WHITE MARTINS GASES INDUSTRIAIS LTDA,1250.01.0002042/2020-09,https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNZ70YWeLaAMvr33h4eERTb7bnecvmHxQgkzjkv7QYDRT,15725,LOCACAO DE EQUIPAMENTOS PARA SISTEMA CENTRALIZADO DE GASES,1251,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,"LOCACAO DE TANQUES, CILINDROS E EQUIPAMENTOS PARA SISTEMA CENTRALIZADODE GASES",Belo Horizonte,0,5970,995,5970,995
0250073 000003/2020,http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/17-04-2020/1831094/0/0/22102/0/0/0/0/12257/8020442/89502/15725/322505/0250073000003-2020,2020-04-10,Locação de tanques de criogênio (incluindo assistência técnica) e misturador de gases medicinais para o Hospital Campanha de Minas Gerais.,https://www1.compras.mg.gov.br/processocompra/processo/consultaProcessoCompra.html?metodo=pesquisar&codigoUnidadeCompra=0250073&numero=3&ano=2020,1250,POLICIA MILITAR DE MINAS GERAIS,Concluído,Dispensa de Licitação,0,NA,NA,NA,NA,NA,NA,NA,35.820.448/0030-70,WHITE MARTINS GASES INDUSTRIAIS LTDA,1250.01.0002042/2020-09,https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNZ70YWeLaAMvr33h4eERTb7bnecvmHxQgkzjkv7QYDRT,42277,LOCACAO DE TANQUE CRIOGENICO,1251,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,"LOCACAO DE EQUIPAMENTOS, ARTIGOS E MOBILIARIO HOSPITALAR, ODONTOLOGICOE LABORATORIAL",Belo Horizonte,0,21852,3642,21852,3642
0250073 000004/2020,NA,2020-04-15,Materiais destinados para adequações no Hospital de Campanha no Expominas BH.,https://www1.compras.mg.gov.br/processocompra/processo/consultaProcessoCompra.html?metodo=pesquisar&codigoUnidadeCompra=0250073&numero=4&ano=2020,1250,POLICIA MILITAR DE MINAS GERAIS,Concluído,Dispensa de Licitação,9246002,https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700,1250,POLICIA MILITAR DE MINAS GERAIS,2020-04-28,2020-04-28,NA,2020-07-28,00.242.692/0001-84,FERRAGENS FAVORITA LTDA -EPP,1250.01.0002112/2020-59,https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNd5qM5rtOiR3v4lywf0Vtn_aBdGsWP6aTXrNaElhxpGv,11754,PARAFUSO SEXTAVADO - MATERIA-PRIMA: ACO GALVANIZADO; ROSCA: SOBERBA; MEDIDAS: 1/4 POLEGADA X 70MM;,1251,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,"FERRAGENS, ABRASIVOS, MATERIAIS PARA VEDACAO E FIXACAO",Belo Horizonte,40,0.45,0.45,18,18
0250073 000004/2020,NA,2020-04-15,Materiais destinados para adequações no Hospital de Campanha no Expominas BH.,https://www1.compras.mg.gov.br/processocompra/processo/consultaProcessoCompra.html?metodo=pesquisar&codigoUnidadeCompra=0250073&numero=4&ano=2020,1250,POLICIA MILITAR DE MINAS GERAIS,Concluído,Dispensa de Licitação,9246002,https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700,1250,POLICIA MILITAR DE MINAS GERAIS,2020-04-28,2020-04-28,NA,2020-07-28,00.242.692/0001-84,FERRAGENS FAVORITA LTDA -EPP,1250.01.0002112/2020-59,https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNd5qM5rtOiR3v4lywf0Vtn_aBdGsWP6aTXrNaElhxpGv,62367,"DISJUNTOR PARA REDE ELETRICA - TIPO: TERMOMAGNETICO, CAP. INTERRUPCAO 6000 AMP. - 10KA; CORRENTE NOMINAL: 10 AMPERES; POLARIDADE: UNIPOLAR; TENSAO NOMINAL: 230/400 VOLTS - 50/60 HZ; FIXACAO: -;",1251,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,"ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS",Belo Horizonte,1,8.8,8.8,8.8,8.8
0250073 000004/2020,NA,2020-04-15,Materiais destinados para adequações no Hospital de Campanha no Expominas BH.,https://www1.compras.mg.gov.br/processocompra/processo/consultaProcessoCompra.html?metodo=pesquisar&codigoUnidadeCompra=0250073&numero=4&ano=2020,1250,POLICIA MILITAR DE MINAS GERAIS,Concluído,Dispensa de Licitação,9246002,https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700,1250,POLICIA MILITAR DE MINAS GERAIS,2020-04-28,2020-04-28,NA,2020-07-28,00.242.692/0001-84,FERRAGENS FAVORITA LTDA -EPP,1250.01.0002112/2020-59,https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNd5qM5rtOiR3v4lywf0Vtn_aBdGsWP6aTXrNaElhxpGv,65889,"ELETRODUTO - MATERIA-PRIMA: ACO GALVANIZADO; RIGIDEZ: RIGIDO ROSCAVEL; ACABAMENTO: LISO, SEM COSTURA; DIAMETRO: BITOLA DE 3/4 DE POLEGADA;",1251,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,"ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS",Belo Horizonte,5,14,14,70,70
0250073 000004/2020,NA,2020-04-15,Materiais destinados para adequações no Hospital de Campanha no Expominas BH.,https://www1.compras.mg.gov.br/processocompra/processo/consultaProcessoCompra.html?metodo=pesquisar&codigoUnidadeCompra=0250073&numero=4&ano=2020,1250,POLICIA MILITAR DE MINAS GERAIS,Concluído,Dispensa de Licitação,9246002,https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700,1250,POLICIA MILITAR DE MINAS GERAIS,2020-04-28,2020-04-28,NA,2020-07-28,00.242.692/0001-84,FERRAGENS FAVORITA LTDA -EPP,1250.01.0002112/2020-59,https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNd5qM5rtOiR3v4lywf0Vtn_aBdGsWP6aTXrNaElhxpGv,72354,"DISJUNTOR PARA REDE ELETRICA - TIPO: TERMOMAGNETICO, CAP. INTERRUPCAP 6000 AMP. - 10KA; CORRENTE NOMINAL: 32 AMPERES; POLARIDADE: UNIPOLAR; TENSAO NOMINAL: 230/400 VOLTS - 50/60 HZ; FIXACAO: -;",1251,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,"ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS",Belo Horizonte,1,9,9,9,9
0250073 000004/2020,NA,2020-04-15,Materiais destinados para adequações no Hospital de Campanha no Expominas BH.,https://www1.compras.mg.gov.br/processocompra/processo/consultaProcessoCompra.html?metodo=pesquisar&codigoUnidadeCompra=0250073&numero=4&ano=2020,1250,POLICIA MILITAR DE MINAS GERAIS,Concluído,Dispensa de Licitação,9246002,https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700,1250,POLICIA MILITAR DE MINAS GERAIS,2020-04-28,2020-04-28,NA,2020-07-28,00.242.692/0001-84,FERRAGENS FAVORITA LTDA -EPP,1250.01.0002112/2020-59,https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNd5qM5rtOiR3v4lywf0Vtn_aBdGsWP6aTXrNaElhxpGv,113328,"DISJUNTOR PARA REDE ELETRICA - TIPO: TERMOMAGNETICO, CAP. INTERRUPCAO 5KA; CORRENTE NOMINAL: 20 AMPERES; POLARIDADE: UNIPOLAR; TENSAO NOMINAL: 230/400 VOLTS - 50/60 HZ; FIXACAO: SOBRE TRILHOS;",1251,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,"ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS",Belo Horizonte,1,8.8,8.8,8.8,8.8
