Secretaria;N˙mero do Processo;Modalidade de ContrataÁ„o;Empresa Contratada;CPF / CNPJ / CGC;DescriÁ„o Processo;Item / Finalidade;Quantidade Item; Valor Unit·rio ; Valor R$ Empenho ;Nota de Empenho;Data Emiss„o do Pagamento;Tipo de Documento do Pagamento; Valor NE ; Valor NL ; Valor NP ; Valor OB ;CÛdigo UG Documento;CÛdigo Fonte Recurso;Sistema Origem NE;Nome Poder;Local Entrega
SECRETARIA DA SAUDE;2020/16884;DISPENSA DE LICITACAO;HICHENS HARRISON CAPITAL PARTNER LLC;EIM number 831426803;AQUISI«√O DE EQUIPAMENTO;RESPIRADOR E OUTROS POR IMPORTA«√O;1;R$165.247.500,00;R$242.247.500,00;2020NE00561;14/04/2020;NE;R$165.247.500,00; R$-   ; R$-   ; R$-   ;90102;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2020/16884;DISPENSA DE LICITACAO;HICHENS HARRISON CAPITAL PARTNER LLC;EIM number 831426803;AQUISI«√O DE EQUIPAMENTO;RESPIRADOR E OUTROS POR IMPORTA«√O;0; R$-   ;R$242.247.500,00;2020NE00561;14/04/2020;NL; R$-   ;R$165.247.500,00; R$-   ; R$-   ;90102;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2020/16884;DISPENSA DE LICITACAO;HICHENS HARRISON CAPITAL PARTNER LLC;EIM number 831426803;AQUISI«√O DE EQUIPAMENTO;RESPIRADOR E OUTROS POR IMPORTA«√O;0; R$-   ;R$242.247.500,00;2020NE00561;14/04/2020;OB; R$-   ; R$-   ; R$-   ;R$165.247.500,00;90102;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2020/16884;DISPENSA DE LICITACAO;HICHENS HARRISON CAPITAL PARTNER LLC;EIM number 831426803;AQUISI«√O DE EQUIPAMENTO;RESPIRADOR E OUTROS POR IMPORTA«√O;1;R$385.577.500,00;R$242.247.500,00;2020NE00584;23/04/2020;NE;R$385.577.500,00; R$-   ; R$-   ; R$-   ;90102;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2020/16884;DISPENSA DE LICITACAO;HICHENS HARRISON CAPITAL PARTNER LLC;EIM number 831426803;AQUISI«√O DE EQUIPAMENTO;RESPIRADOR E OUTROS POR IMPORTA«√O;0; R$-   ;R$242.247.500,00;2020NE00584;23/04/2020;NL; R$-   ;R$77.000.000,00; R$-   ; R$-   ;90102;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2020/16884;DISPENSA DE LICITACAO;HICHENS HARRISON CAPITAL PARTNER LLC;EIM number 831426803;AQUISI«√O DE EQUIPAMENTO;RESPIRADOR E OUTROS POR IMPORTA«√O;0; R$-   ;R$242.247.500,00;2020NE00584;23/04/2020;OB; R$-   ; R$-   ; R$-   ;R$77.000.000,00;90102;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2020/16884;DISPENSA DE LICITACAO;HICHENS HARRISON CAPITAL PARTNER LLC;EIM number 831426803;AQUISI«√O DE EQUIPAMENTO;RESPIRADOR E OUTROS POR IMPORTA«√O;1;-R$308.577.500,00;R$242.247.500,00;2020NE00584;14/05/2020;NE;-R$308.577.500,00; R$-   ; R$-   ; R$-   ;90102;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA EDUCACAO;20407/20;DISPENSA DE LICITACAO;PICPAY SERVICOS S/A;22.896.431/0001-10;MERENDA EM CASA;MERENDA EM CASA;1;R$40.280.955,00;R$121.508.955,00;2020NE00119;01/04/2020;NE;R$40.280.955,00; R$-   ; R$-   ; R$-   ;80358;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA EDUCACAO;20407/20;DISPENSA DE LICITACAO;PICPAY SERVICOS S/A;22.896.431/0001-10;MERENDA EM CASA;MERENDA EM CASA;0; R$-   ;R$121.508.955,00;2020NE00119;06/04/2020;NL; R$-   ;R$40.280.955,00; R$-   ; R$-   ;80358;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA EDUCACAO;20407/20;DISPENSA DE LICITACAO;PICPAY SERVICOS S/A;22.896.431/0001-10;MERENDA EM CASA;MERENDA EM CASA;0; R$-   ;R$121.508.955,00;2020NE00119;07/04/2020;OB; R$-   ; R$-   ; R$-   ;R$40.280.955,00;80358;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
